,date,t1,id1,g1,g2,id2,t2,tourn
1913,2013.03.12,Caracas,906,2,1,224,Gremio,Copa Libertadores
1914,2013.03.13,Lara,920,1,5,616,Olimpia Asuncion,Copa Libertadores
1915,2013.03.13,The Strongest,126,1,2,205,Atletico-MG,Copa Libertadores
1916,2013.03.14,Nacional,817,0,1,10,Boca Juniors,Copa Libertadores
1917,2013.03.14,San Jose,123,2,0,421,Millonarios,Copa Libertadores
1918,2013.03.14,Arsenal Sarandi,5,2,1,239,Sao Paulo,Copa Libertadores
1919,2013.04.02,Santa Fe,427,1,0,604,Cerro Porteno,Copa Libertadores
1920,2013.04.02,Deportes Iquique,312,1,3,42,Velez Sarsfield,Copa Libertadores
1921,2013.04.02,Garcilaso,722,0,3,412,Deportes Tolima,Copa Libertadores
1922,2013.04.02,Palmeiras,230,2,0,39,Tigre,Copa Libertadores
1923,2013.04.02,Emelec,510,2,0,820,Penarol,Copa Libertadores
1924,2013.04.03,Atletico-MG,205,5,2,5,Arsenal Sarandi,Copa Libertadores
1925,2013.04.03,Boca Juniors,10,1,0,503,Barcelona SC,Copa Libertadores
1926,2013.04.03,Caracas,906,0,4,315,Huachipato,Copa Libertadores
1927,2013.04.03,Millonarios,421,0,1,214,Corinthians,Copa Libertadores
1928,2013.04.04,Newells Old Boys,25,3,1,920,Lara,Copa Libertadores
1929,2013.04.04,U. De Chile,330,0,1,616,Olimpia Asuncion,Copa Libertadores
1930,2013.04.04,The Strongest,126,2,1,239,Sao Paulo,Copa Libertadores
1931,2013.04.09,Velez Sarsfield,42,0,0,510,Emelec,Copa Libertadores
1932,2013.04.09,Penarol,820,3,0,312,Deportes Iquique,Copa Libertadores
1933,2013.04.09,Tigre,39,3,1,736,Sporting Cristal,Copa Libertadores
1934,2013.04.09,Deportes Tolima,412,1,2,427,Santa Fe,Copa Libertadores
1935,2013.04.10,Garcilaso,722,5,1,604,Cerro Porteno,Copa Libertadores
1936,2013.04.10,Gremio,224,0,0,220,Fluminense,Copa Libertadores
1937,2013.04.10,Corinthians,214,3,0,123,San Jose,Copa Libertadores
1938,2013.04.11,Lara,920,2,3,330,U. De Chile,Copa Libertadores
1939,2013.04.11,Olimpia Asuncion,616,4,1,25,Newells Old Boys,Copa Libertadores
1940,2013.04.11,Palmeiras,230,1,0,614,Libertad Asuncion,Copa Libertadores
1941,2013.04.16,Santa Fe,427,2,0,722,Garcilaso,Copa Libertadores
1942,2013.04.16,Cerro Porteno,604,0,0,412,Deportes Tolima,Copa Libertadores
1943,2013.04.17,Barcelona SC,503,1,0,817,Nacional,Copa Libertadores
1944,2013.04.17,Sao Paulo,239,2,0,205,Atletico-MG,Copa Libertadores
1945,2013.04.17,Arsenal Sarandi,5,2,1,126,The Strongest,Copa Libertadores
1946,2013.04.18,Sporting Cristal,736,1,0,230,Palmeiras,Copa Libertadores
1947,2013.04.18,Libertad Asuncion,614,3,5,39,Tigre,Copa Libertadores
1948,2013.04.18,Huachipato,315,1,1,224,Gremio,Copa Libertadores
1949,2013.04.18,Fluminense,220,1,0,906,Caracas,Copa Libertadores
1950,2013.04.24,Newells Old Boys,25,0,1,42,Velez Sarsfield,Copa Libertadores
1951,2013.04.25,Garcilaso,722,1,0,817,Nacional,Copa Libertadores
